URL_ID,URL,POSITIVE_SCORE,NEGATIVE_SCORE,POLARITY_SCORE,SUBJECTIVITY_SCORE,AVG_SENTENCE_LENGTH,PERCENTAGE_OF_COMPLEX_WORDS,FOG_INDEX,AVG_NUMBER_OF_WORDS_PER_SENTENCE,COMPLEX_WORD_COUNT,WORD_COUNT,SYLLABLE_PER_WORD,PERSONAL_PRONOUNS,AVG_WORD_LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,59.0,28.0,0.3563218349848065,0.048712206019758,27.08108108108108,0.436127744510978,11.006883530236824,24.594594594594593,437.0,1002.0,1.6626746506986028,931.0,10.134730538922156
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,48.0,29.0,0.24675324354865918,0.05460992903928373,34.72222222222222,0.3264,14.019448888888888,30.11111111111111,204.0,625.0,1.4608,602.0,10.9632
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,59.0,36.0,0.2421052606094183,0.055948174289783166,29.666666666666668,0.4550561797752809,12.04868913857678,27.466666666666665,405.0,890.0,1.543820224719101,875.0,10.338202247191012
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,59.0,24.0,0.42168674190738864,0.050394656921436146,19.61111111111111,0.37252124645892354,7.993452943028014,16.52777777777778,263.0,706.0,1.4291784702549575,683.0,11.378186968838527
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,49.0,23.0,0.3611111060956791,0.041570438775074804,21.102564102564102,0.3730255164034022,8.590235847587001,17.53846153846154,307.0,823.0,1.600243013365735,758.0,10.815309842041312
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,35.0,18.0,0.3207547109291564,0.041053446908556585,18.727272727272727,0.34951456310679613,7.63071491615181,16.303030303030305,216.0,618.0,1.580906148867314,564.0,10.521035598705502
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,11.0,10.0,0.04761904535147403,0.02857142853255588,38.666666666666664,0.3448275862068966,15.604597701149425,34.111111111111114,120.0,348.0,1.4080459770114941,312.0,10.810344827586206
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,,,,,,,,,,,,,
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,30.0,11.0,0.4634146228435458,0.056629834175925646,26.615384615384617,0.3179190751445087,10.77332147621165,22.923076923076923,110.0,346.0,1.2514450867052023,280.0,10.18208092485549
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,52.0,28.0,0.29999999625000007,0.03712296982036057,35.0,0.40492610837438425,14.161970443349754,30.896551724137932,411.0,1015.0,1.5211822660098522,964.0,10.535960591133005
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,53.0,43.0,0.10416666558159723,0.048607594912097415,24.608695652173914,0.34275618374558303,9.980580734367798,19.717391304347824,388.0,1132.0,1.1386925795053005,878.0,9.086572438162545
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,34.0,13.0,0.44680850113173404,0.039330543900141804,17.055555555555557,0.4837133550488599,7.015707564241767,14.944444444444445,297.0,614.0,1.5765472312703583,679.0,10.768729641693811
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,20.0,24.0,-0.09090908884297526,0.03580146457623965,26.608695652173914,0.3790849673202614,10.79511224779767,21.82608695652174,232.0,612.0,1.5212418300653594,545.0,10.130718954248366
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,46.0,19.0,0.41538460899408297,0.038461538438780155,16.454545454545453,0.3839779005524862,6.735409342039176,14.772727272727273,278.0,724.0,1.430939226519337,753.0,11.447513812154696
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,57.0,19.0,0.4999999934210527,0.04636973761661395,14.436363636363636,0.3954659949622166,5.932731852530342,12.49090909090909,314.0,794.0,1.570528967254408,794.0,10.590680100755668
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,22.0,0.0,0.9999999545454565,0.043392504845379674,26.0,0.5115384615384615,10.604615384615386,24.2,133.0,260.0,1.8038461538461539,245.0,10.642307692307693
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,67.0,28.0,0.4105263114681441,0.052631578918209646,127.33333333333333,0.3913612565445026,51.089877835951135,118.66666666666667,299.0,764.0,1.5706806282722514,733.0,11.350785340314136
